309.0,-22.87544,-43.24206,01-11-2020 14:06:01,0.0
869.0,-22.91783,-43.60806,01-11-2020 14:09:33,0.0
110.0,-22.85745,-43.24497,01-11-2020 14:12:08,0.0
918.0,-22.89392,-43.53324,01-11-2020 14:16:45,0.0
110.0,-22.85892,-43.24487,01-11-2020 14:24:28,0.0
315.0,-22.85847,-43.24526,01-11-2020 14:24:30,0.0
835.0,-22.89428,-43.53185,01-11-2020 14:29:29,0.0
238.0,-22.9298,-43.25384,01-11-2020 14:30:03,0.0
919.0,-22.86229,-43.23738,01-11-2020 14:32:29,0.0
100.0,-22.87414,-43.24157,01-11-2020 14:35:05,0.0
460.0,-22.87567,-43.24193,01-11-2020 14:40:00,0.0
410.0,-22.92357,-43.22211,01-11-2020 14:41:58,19.0
484.0,-22.80465,-43.30949,01-11-2020 14:48:57,0.0
538.0,-22.8737,-43.24178,01-11-2020 14:55:39,0.0
315.0,-22.8589,-43.24509,01-11-2020 14:58:40,0.0
685.0,-22.90269,-43.29834,01-11-2020 14:59:47,2.0
111.0,-22.87558,-43.24147,01-11-2020 15:00:22,0.0
110.0,-22.85773,-43.24434,01-11-2020 15:03:34,0.0
315.0,-22.85841,-43.24531,01-11-2020 15:03:43,0.0
315.0,-22.95322,-43.35104,01-11-2020 15:11:34,0.0
538.0,-22.87472,-43.24188,01-11-2020 15:14:42,0.0
209.0,-22.88673,-43.22984,01-11-2020 15:21:49,48.0
582.0,-22.87379,-43.24169,01-11-2020 15:23:04,0.0
110.0,-22.85841,-43.24498,01-11-2020 15:23:05,0.0
538.0,-22.8746,-43.24221,01-11-2020 15:23:30,0.0
112.0,-22.85894,-43.24487,01-11-2020 15:26:11,0.0
557.0,-22.94992,-43.34825,01-11-2020 15:30:41,0.0
106.0,-22.87457,-43.2417,01-11-2020 15:31:37,0.0
455.0,-22.87446,-43.24113,01-11-2020 15:32:21,0.0
309.0,-22.87386,-43.2418,01-11-2020 15:33:45,0.0
110.0,-22.8589,-43.24508,01-11-2020 15:40:24,0.0
309.0,-22.87539,-43.24154,01-11-2020 15:42:51,0.0
309.0,-22.87395,-43.24183,01-11-2020 15:43:20,0.0
315.0,-22.85745,-43.24497,01-11-2020 15:44:09,0.0
614.0,-22.95213,-43.34919,01-11-2020 15:45:35,0.0
104.0,-22.86754,-43.25859,01-11-2020 15:46:04,10.0
100.0,-22.87465,-43.24197,01-11-2020 15:46:22,0.0
309.0,-22.87389,-43.24203,01-11-2020 15:47:02,0.0
460.0,-22.85887,-43.24487,01-11-2020 15:47:25,0.0
110.0,-22.85801,-43.24511,01-11-2020 15:47:39,0.0
584.0,-22.87591,-43.24176,01-11-2020 15:47:40,0.0
100.0,-22.87537,-43.24044,01-11-2020 15:49:32,0.0
435.0,-22.87487,-43.24198,01-11-2020 15:49:57,0.0
315.0,-22.8739,-43.2421,01-11-2020 15:49:58,0.0
110.0,-22.85868,-43.24525,01-11-2020 15:51:14,0.0
111.0,-22.87461,-43.24107,01-11-2020 15:51:36,0.0
106.0,-22.87468,-43.24213,01-11-2020 15:52:08,0.0
106.0,-22.87578,-43.24126,01-11-2020 15:52:39,0.0
2336.0,-22.91709,-43.60744,01-11-2020 15:56:19,2.0
803.0,-22.87612,-43.43177,01-11-2020 15:56:37,19.0
397.0,-22.88471,-43.49477,01-11-2020 15:57:41,7.0
538.0,-22.87552,-43.24149,01-11-2020 16:00:33,0.0
651.0,-22.85938,-43.37106,01-11-2020 16:01:14,2.0
945.0,-22.84048,-43.23748,01-11-2020 16:01:53,0.0
108.0,-22.8742,-43.24241,01-11-2020 16:05:39,0.0
609.0,-22.87227,-43.3445,01-11-2020 16:12:45,3.0
867.0,-22.90958,-43.56607,01-11-2020 16:15:01,40.0
867.0,-22.92848,-43.57347,01-11-2020 16:16:48,0.0
309.0,-22.87544,-43.24185,01-11-2020 16:19:45,0.0
932.0,-22.91563,-43.36109,01-11-2020 16:22:03,0.0
100.0,-22.8752,-43.24064,01-11-2020 16:23:45,0.0
584.0,-22.87514,-43.2416,01-11-2020 16:23:49,0.0
636.0,-22.88003,-43.3572,01-11-2020 16:24:04,0.0
862.0,-22.95306,-43.34976,01-11-2020 16:24:49,0.0
2303.0,-22.86342,-43.43827,01-11-2020 16:25:18,72.0
920.0,-22.79254,-43.29454,01-11-2020 16:30:03,0.0
298.0,-22.81632,-43.39459,01-11-2020 16:33:43,0.0
112.0,-22.85843,-43.24494,01-11-2020 16:34:12,0.0
2111.0,-22.95271,-43.34846,01-11-2020 16:35:07,0.0
600.0,-22.95185,-43.34868,01-11-2020 16:35:17,0.0
538.0,-22.8737,-43.24184,01-11-2020 16:38:41,0.0
462.0,-22.87537,-43.24158,01-11-2020 16:38:44,0.0
584.0,-22.87439,-43.24236,01-11-2020 16:38:48,0.0
309.0,-22.87403,-43.24198,01-11-2020 16:39:20,0.0
249.0,-22.90244,-43.29935,01-11-2020 16:47:17,0.0
463.0,-22.87462,-43.24105,01-11-2020 16:47:56,0.0
